date,team,opponent,stage,goals_for,goals_against
2026-06-16,France,Senegal,Group,3,1
2026-06-22,France,Iraq,Group,3,0
2026-06-26,France,Norway,Group,4,1
2026-06-30,France,Sweden,Round of 32,3,0
2026-07-04,France,Paraguay,Round of 16,1,0
2026-07-09,France,Morocco,Quarter-final,2,0
2026-06-15,Spain,Cabo Verde,Group,0,0
2026-06-21,Spain,Saudi Arabia,Group,4,0
2026-06-26,Spain,Uruguay,Group,1,0
2026-07-02,Spain,Austria,Round of 32,3,0
2026-07-06,Spain,Portugal,Round of 16,1,0
2026-07-10,Spain,Belgium,Quarter-final,2,1

